Nama;Kategori;Popularity;gambar;halaman;Jalan;Desa/Kelurahan;Kecamatan;Kabupaten/Kota;Provinsi;Kontak;X;Y,
Pesona Desa Cipelah;Scenery;popular;;PesonaCipelah.html;;Cipelah;Rancabali;Kabupaten Bandung;Jawa Barat;83822889826;1.072.642.252;-72.009.874,
Ciherang Riverside Rancabali Campground;Camping;most-visited;https://raw.githubusercontent.com/claranvt/Image_WisataBandung/Alam/Alam_CiherangRiverside1.jpg;CiherangRiverside.html;;Cipelah;Rancabali;Kabupaten Bandung;Jawa Barat;81313411590;1.072.873.706;-71.845.629,
Kebun Kopi;Scenery;popular;https://raw.githubusercontent.com/claranvt/Image_WisataBandung/Alam/Alam_KebunKopi.jpeg;KebunKopi.html;Cibuni;Sukaresmi;Rancabali;Kabupaten Bandung;Jawa Barat;;;1.073.166.001,
Kebon Pinus;Scenery;popular;;KebonPinus.html;;Cipelah;Rancabali;Kabupaten Bandung;Jawa Barat;;1.073.166.001;-7.201.544,
Kampung Cipuspa;Scenery;popular;;KampungCipuspa.html;;Sukaresmi;Rancabali;Kabupaten Bandung;Jawa Barat;;1.073.403.799;-7.204.632,
Spot Teletubies;Scenery;popular;https://raw.githubusercontent.com/claranvt/Image_WisataBandung/Alam/Alam_SpotTeletubbies.jpg;SpotTeletubies.html;Unnamed Road;Sukaresmi;Rancabali;Kabupaten Bandung;Jawa Barat;;1.073.600.843;-72.021.206,
Spot Swiss Cibuni;Scenery;most-visited;;SpotSwissCibuni.html;;Sukaresmi;Rancabali;Kabupaten Bandung;Jawa Barat;;1.073.542.767;-71.996.679,
Negeri Diatas Awan Rancabali;Scenery;most-visited;;NegeriAwan.html;Unnamed Road;Sukaresmi;Rancabali;Kabupaten Bandung;Jawa Barat;81277439444;1.073.567.571;-72.267.411,
Kelok Sarebu;Scenery;popular;https://raw.githubusercontent.com/claranvt/Image_WisataBandung/Alam/Alam_KelokSarebu.png;KelokSarebu.html;;Sukaresmi;Rancabali;Kabupaten Bandung;Jawa Barat;;1.073.567.571;-72.267.411,
Wisata Kebun Rasmala;Scenery;popular;https://raw.githubusercontent.com/claranvt/Image_WisataBandung/Alam/Alam_KebunRasmala.png;KebunRasmala.html;Jl. Cikadu;Sukaresmi;Rancabali;Kabupaten Bandung;Jawa Barat;;1.073.524.656;-72.270.817,
Camping Ground Nyampay;Camping;popular;https://raw.githubusercontent.com/claranvt/Image_WisataBandung/Alam/Alam_CGNyampay.jpg;CampingNyampay.html;Camping ground Nyampay;Indragiri;Rancabali;Kabupaten Bandung;Jawa Barat;83863817257;1.073.344.405;-71.512.621,
Ranca Upas Ciwidey;Camping;most-visited;https://raw.githubusercontent.com/claranvt/Image_WisataBandung/Alam/Alam_RancaUpas1.jpg;RancaUpas.html;Jl. Camp Ranca Upas;Patengan;Rancabali;Kabupaten Bandung;Jawa Barat;81359569984;1.073.344.405;-71.512.621,
Kawah Putih;Mountain;most-visited;https://raw.githubusercontent.com/claranvt/Image_WisataBandung/Alam/Alam_KawahPutih1.jpg;KawahPutih.html;Jl. Ciwidey Patengan Km 11 Lebakmuncang;Sugihmukti;Pasirjambu;Kabupaten Bandung;Jawa Barat;81220068486;1.073.820.906;-71.545.302,
Bukit Jamur Rancabolang Pasirjambu;Scenery;popular;https://raw.githubusercontent.com/claranvt/Image_WisataBandung/Alam/Alam_BukitJamurRancabolang.jpg;BukitJamur.html;;Sugihmukti;Pasirjambu;Kabupaten Bandung;Jawa Barat;;1.074.091.089;-71.847.428,
Kebun Teh Rancabolang;Scenery;popular;https://raw.githubusercontent.com/claranvt/Image_WisataBandung/Alam/Alam_KebunTehRancabolang1.jpg;KebunTehRancabolang.html;;Sugihmukti;Pasirjambu;Kabupaten Bandung;Jawa Barat;;1.074.091.089;-71.847.428,
Curug Siliwangi Cihejo;Waterfall;popular;https://raw.githubusercontent.com/claranvt/Image_WisataBandung/Alam/Alam_CurugSiliwangiCihejo.jpg;CurugSiliwangi.html;;Sugihmukti;Pasirjambu;Kabupaten Bandung;Jawa Barat;;107.427.485;-71.722.167,
Curug Cipanji;Waterfall;popular;https://raw.githubusercontent.com/claranvt/Image_WisataBandung/Alam/Alam_CurugCipanji.png;CurugCipanji.html;;Margamulya;Pasirjambu;Kabupaten Bandung;Jawa Barat;89618712789;1.074.296.474;-71.571.982,
Perkebunan Teh Dewata;Scenery;popular;https://raw.githubusercontent.com/claranvt/Image_WisataBandung/Alam/Alam_KebunTehDewata.jpg;PerkebunanDewata.html;;Sugihmukti;Pasirjambu;Kabupaten Bandung;Jawa Barat;40972;1.074.681.949;-7.217.465,
Sunrise Point Cukul;Scenery;most-visited;;SunriseCukul.html;Jl. Cukul;Sukaluyu;Pangalengan;Kabupaten Bandung;Jawa Barat;40378;1.074.904.417;-72.100.436,
WARA'AS;Scenery;popular;;Waraas.html;;Warnasari;Pangalengan;Kabupaten Bandung;Jawa Barat;81312856926;1.074.904.417;-72.100.436,
Taman Langit Pangalengan (Sunrise Point & Camping Ground);Camping;most-visited;;TamanLangit.html;Kp. Puncak Mulya;Sukaluyu;Pangalengan;Kabupaten Bandung;Jawa Barat;8112131220;1.075.087.296;-72.269.058,
Epic view.pujasp;Scenery;popular;;EpicView.html;Jl. Talegong;Sukaluyu;Pangalengan;Kabupaten Bandung;Jawa Barat;;107.521.685;-72.461.127,
Cukul Atas;Scenery;popular;;CukulAtas.html;Jl. Cukul;Sukaluyu;Pangalengan;Kabupaten Bandung;Jawa Barat;;107.527.192;-7.248.279,
Cukul Campsite;Camping;popular;;CukulCampsite.html;Jl. Cukul;Sukaluyu;Pangalengan;Kabupaten Bandung;Jawa Barat;85974779204;1.075.304.431;-72.345.302,
Curug Congeang;Waterfall;popular;;CurugCongeang.html;;Sukaluyu;Pangalengan;Kabupaten Bandung;Jawa Barat;;1.075.230.995;-72.459.582,
Curug Muara Pangalengan;Waterfall;popular;;CurugMuara.html;;Margaluyu;Pangalengan;Kabupaten Bandung;Jawa Barat;;1.075.416.644;-72.517.398,
Air Terjun Leutik;Waterfall;popular;;CurugLeutik.html;;Margaluyu;Pangalengan;Kabupaten Bandung;Jawa Barat;;1.075.435.184;-72.512.887,
Curug Cilaki Pangalengan;Waterfall;most-visited;;CurugCilaki.html;;Margaluyu;Pangalengan;Kabupaten Bandung;Jawa Barat;;1.075.556.221;-7.242.856,
Kedaton Bukit Panyawangan Pangalengan;Scenery;popular;;BukitPanyawangan.html;Jl. Cukul;Sukaluyu;Pangalengan;Kabupaten Bandung;Jawa Barat;82127354855;1.075.326.605;-723.396,
Situ Datar Buana;Scenery;popular;;SituDatarBuana.html;Perkebunan Jl. Pasir Malang;Margaluyu;Pangalengan;Kabupaten Bandung;Jawa Barat;;1.075.253.079;-72.208.771,
Wanasari Campingground;Camping;popular;;WanasariCamping.html;;Warnasari;Pangalengan;Kabupaten Bandung;Jawa Barat;85659531196;1.075.076.392;-71.953.896,
C-Rafting Pangalengan;Scenery;most-visited;;CRafting.html;Jl. Situ Cileunca No.KM. 4;Sukamanah;Pangalengan;Kabupaten Bandung;Jawa Barat;;1.075.161.689;-7.192.871,
Situ Cileunca Pangalengan Bandung;Scenery;most-visited;https://asset.kompas.com/crops/lsNh_scBB8BuVNEe41GXTNnsqlA=/0x5:991x666/1200x800/data/photo/2022/06/05/629cad9225e85.jpg;SituCileunca.html;Jl. Situ Cileunca No.19;Pulosari;Pangalengan;Kabupaten Bandung;Jawa Barat;85318888668;1.075.304.866;-71.934.754,
Situ Cileunca Camping;Camping;popular;;SituCileuncaCamping.html;;Pulosari;Pangalengan;Kabupaten Bandung;Jawa Barat;85727901825;1.075.365.792;-71.991.171,
Nusa Manona;Scenery;popular;;NusaManona.html;;Cieurih;Pangalengan;Kabupaten Bandung;Jawa Barat;82151150997;1.075.614.172;-72.021.585,
NIMO Highland;Scenery;most-visited;;NimoHighland.html;;Banjarsari;Pangalengan;Kabupaten Bandung;Jawa Barat;81120060980;1.075.774.278;-72.203.304,
Nimo Eye;Scenery;popular;;NimoEye.html;;Banjarsari;Pangalengan;Kabupaten Bandung;Jawa Barat;81120060980;1.075.754.506;-72.217.487,
Teh Jangkung Malabar;Scenery;popular;;TehJangkung.html;;Banjarsari;Pangalengan;Kabupaten Bandung;Jawa Barat;82120360713;1.075.768.677;-72.176.945,
Kebun Teh Pangalengan;Scenery;most-visited;;KebunTehPangalengan.html;Jl. Babakan No.2;Banjarsari;Pangalengan;Kabupaten Bandung;Jawa Barat;;1.075.768.677;-72.176.945,
Curug Banjarsari;Waterfall;popular;;CurugBanjarsari.html;Unnamed Road;Banjarsari;Pangalengan;Kabupaten Bandung;Jawa Barat;;1.075.765.231;-72.329.651,
Curug Cilaki Luhur;Waterfall;popular;;CurugCilakiLuhur.html;;Banjarsari;Pangalengan;Kabupaten Bandung;Jawa Barat;;1.075.765.231;-72.329.651,
Wayang windu Panenjoan;Scenery;most-visited;;WayangWindu.html;;Banjarsari;Pangalengan;Kabupaten Bandung;Jawa Barat;85333339048;1.076.110.938;-72.164.107,
Kawah Wayang;Mountain;popular;;KawahWayang.html;;Sukamanah;Pangalengan;Kabupaten Bandung;Jawa Barat;8,81024E+11;1.076.168.452;-72.143.652
Kolam Air Panas Sukaratu Pangalengan;Scenery;popular;;Sukaratu.html;;Banjarsari;Pangalengan;Kabupaten Bandung;Jawa Barat;;1.076.138.327;-72.079.999,
Wisata Hutan Pinus PAKAWA (Paniisan Karuhun Wa Hyang);Scenery;popular;;Pakawa.html;Jl. Raya Pajaten;Tarumajaya;Kertasari;Kabupaten Bandung;Jawa Barat;82121390539;1.076.446.518;-72.218.202,
Bukit Paesan;Scenery;popular;;BukitPaesan.html;Kp.Citawa;Tarumajaya;Kertasari;Kabupaten Bandung;Jawa Barat;82128491866;107.642.619;-72.370.171,
