foto,nama,kategori,jalan,desa/kelurahan,kecamatan,kabupaten/kota,provinsi,kodepos,kontak,x,y
,Batagor Riri,Kuliner,Jl. Burangrang No.41,Malabar,Lengkong,Kota Bandung,Jawa Barat,40262,,107.6193702,-6.9276297
,Batagor Kingsley,Kuliner,Jl. Veteran No.25,Kb. Pisang,Sumur Bandung,Kota Bandung,Jawa Barat,40112,,107.6151726,-6.9191781
,Martabak Mertua Kopo,Kuliner,Jl. Raya Taman Kopo Indah 2 No.68,Rahayu,Margaasih,Kabupaten Bandung,Jawa Barat,40218,,107.5584183,-6.9538114
,Martabak Legit Sukamenak,Kuliner,Jl. Cangkuang No.73-81,Sayati,Margahayu,Kabupaten Bandung,Jawa Barat,40228,,107.5763646,-6.9710588
,Ayam Sari Rasa 3,Kuliner,Jl. Anggrek No.59,Merdeka,Bandung Wetan,Kota Bandung,Jawa Barat,40114,,107.6302532,-6.9105451
,Toko Bubur Dibawah Pohon Rindang Cibeunying,Kuliner,Jl. Taman Cibeunying Utara No.24,Cihapit,Bandung Wetan,Kota Bandung,Jawa Barat,40114,,107.6242015,-6.9043504
https://raw.githubusercontent.com/claranvt/Image_WisataBandung/StreetFood/Image_WisataBandung/tjuankiestasion/1cuanki.jpg,Tjuankie Stasion,Kuliner,Jl. Kebon Kawung No.6,Pasir Kaliki,Cicendo,Kota Bandung,Jawa Barat,40171,,107.5989774,-6.9124314
,Nasi Lemak & Kupi Tarik Sinar Asia,Kuliner,Jl. Lombok No.3,Merdeka,Sumur Bandung,Kota Bandung,Jawa Barat,40113,,107.6181777,-6.9112786
,Lontong Cibadak,Kuliner,Jl. Cibadak No.8,Karanganyar,Astanaanyar,Kota Bandung,Jawa Barat,40241,,107.6033508,-6.9219175
,Bebek Ali Borme Cimahi,Kuliner,Jl. Gatot Subroto No.23,Karangmekar,Cimahi Tengah,Kota Cimahi,Jawa Barat,40523,,107.5448263,-6.8777305
,Ayam Asin Cihapit,Kuliner,Jl. Cihapit No.45,Cihapit,Bandung Wetan,Kota Bandung,Jawa Barat,40114,,107.6240266,-6.9066299
,TJI LAKI 9 | TOKO BOLU & KUE,Kuliner,Jl. Cilaki No.9,Cihapit,Bandung Wetan,Kota Bandung,Jawa Barat,40115,,107.6286091,-6.9068115
,Bagelicious,Kuliner,Jl. L. L. R.E. Martadinata No.71,Citarum,Bandung Wetan,Kota Bandung,Jawa Barat,40115,,107.6156365,-6.9057157
