foto,nama,kategori,jalan,desa/kelurahan,kecamatan,kabupaten/kota,provinsi,kodepos,x,y
,Paris Van Java,Hiburan,Jl. Sukajadi No.131-139,Cipedes,Sukajadi,Kota Bandung,Jawa Barat,40162,107.5934297,-6.8895433
,Bandung Indah Plaza,Hiburan,Jl. Merdeka No.56,Citarum,Bandung Wetan,Kota Bandung,Jawa Barat,40115,107.6082533,-6.9086653
,Paskal 23 Shopping Center,Hiburan,Jl. Kebon Jati No.192,Kb. Jeruk,Andir,Kota Bandung,Jawa Barat,40181,107.5921845,-6.9158997
,Bandung Electronic Center,Hiburan,Jl. Purnawarman No.13-15,Babakan Ciamis,Bandung Wetan,Kota Bandung,Jawa Barat,40117,107.6062149,-6.9078216
https://raw.githubusercontent.com/claranvt/Image_WisataBandung/Rekreasi/Hiburan/rekreasi%20bandung/Trans-Studio-Mall-Bandung_02.jpg,Trans Studio Bandung,Hiburan,Jl. Gatot Subroto No.289A,Cibangkong,Batununggal,Kota Bandung,Jawa Barat,40273,107.6336682,-6.9255538
https://raw.githubusercontent.com/claranvt/Image_WisataBandung/Rekreasi/Hiburan/rekreasi%20bandung/Summareconbandung.jpg,Summarecon Mall Bandung,Hiburan,Jl. Grand Bulevar No.1,Cisaranten Kidul,Gedebage,Kota Bandung,Jawa Barat,40295,107.6974769,-6.9556092
,Transmart Buah Batu,Hiburan,Jl. Terusan Buah Batu No.176c,Cipagalo,Bojongsoang,Kabupaten Bandung,Jawa Barat,40287,107.6376568,-6.9668349
,D'Botanica Bandung Mall,Hiburan,Jl. Dr. Djunjunan No.143-149,Pajajaran,Cicendo,Kota Bandung,Jawa Barat,40173,107.5825456,-6.8931581
,Cihampelas Walk,Hiburan,Jl. Cihampelas No.160,Cipaganti,Coblong,Kota Bandung,Jawa Barat,40131,107.6017538,-6.8949436
,Kings Shopping Center,Hiburan,Jl. Ciguriang,Balonggede,Regol,Kota Bandung,Jawa Barat,40251,107.6024268,-6.9231105
https://raw.githubusercontent.com/claranvt/Image_WisataBandung/Rekreasi/Hiburan/rekreasi%20bandung/noah's-park.jpg,Noah's Park,Hiburan,Jl. Sukanagara No.20,Pagerwangi,Lembang,Kabupaten Bandung Barat,Jawa Barat,40391,107.6315415,-6.8302191
,Pandora Experience Bandung,Hiburan,Jl. Sukajadi No.173A,Cipedes,Sukajadi,Kota Bandung,Jawa Barat,40162,107.5937236,-6.8834785
https://raw.githubusercontent.com/claranvt/Image_WisataBandung/Rekreasi/Hiburan/rekreasi%20bandung/Lapangan-Gasibu.jpg,Lapangan Gasibu,Rekreasi,Jl. Diponegoro,Citarum,Bandung Wetan,Kota Bandung,Jawa Barat,40115,107.6179785,-6.9002614
https://raw.githubusercontent.com/claranvt/Image_WisataBandung/Rekreasi/Hiburan/rekreasi%20bandung/Kiara%20Artha%20Park.jpg,Kiara Artha Park,Rekreasi,Jl. Banten,Kebonwaru,Batununggal,Kota Bandung,Jawa Barat,40272,107.6396917,-6.9161452
,Farm House Susu Lembang,Hiburan,Jl. Raya Lembang No.108,Gudangkahuripan,Lembang,Kabupaten Bandung Barat,Jawa Barat,40391,107.6047057,-6.8329461
https://raw.githubusercontent.com/claranvt/Image_WisataBandung/Rekreasi/Hiburan/rekreasi%20bandung/Taman-Hutan-Raya-Ir.-H.-Djuanda.jpg,Taman Hutan Raya Ir. H. Djuanda,Rekreasi,Jl. Ir. H. Juanda No.99,Ciburial,Cimenyan,Kabupaten Bandung,Jawa Barat,40198,107.6287047,-6.8589342
https://raw.githubusercontent.com/claranvt/Image_WisataBandung/Rekreasi/Hiburan/rekreasi%20bandung/saungudjo.jpeg,Saung Angklung Udjo,Rekreasi,Jl. Padasuka No.118,Pasirlayung,Cibeunying Kidul,Kota Bandung,Jawa Barat,40192,107.6533955,-6.8976616
https://raw.githubusercontent.com/claranvt/Image_WisataBandung/Rekreasi/Hiburan/rekreasi%20bandung/Dago-Dream-Park.jpg,Dago Dreampark,Hiburan,Jl. Dago Giri No.Km. 2.2,Pagerwangi,Lembang,Kabupaten Bandung Barat,Jawa Barat,40135,107.6233641,-6.8486423
https://raw.githubusercontent.com/claranvt/Image_WisataBandung/Rekreasi/Hiburan/rekreasi%20bandung/lembangparkandzoo.jpg,Lembang Park & Zoo,Hiburan,Jl. Kolonel Masturi No.171,Sukajaya,Lembang,Kabupaten Bandung Barat,Jawa Barat,40391,107.5883489,-6.8041007
,Kebun Binatang Bandung,Hiburan,Jl. Kebun Binatang No.6,Lb. Siliwangi,Coblong,Kota Bandung,Jawa Barat,40132,107.6052146,-6.8901133
,Alun-alun Kota Bandung,Rekreasi,Jl. Asia Afrika,Kb. Pisang,Regol,Kota Bandung,Jawa Barat,,107.6054152,-6.9217504
https://raw.githubusercontent.com/claranvt/Image_WisataBandung/Rekreasi/Hiburan/rekreasi%20bandung/OrchidForestCikoleLembangBandung.jpg,Orchid Forest Cikole,Rekreasi,Genteng,Cikole,Lembang,Kabupaten Bandung Barat,Jawa Barat,40391,107.6337375,-6.7800199
,Museum Geologi,Rekreasi,Jl. Diponegoro No.57,Cihaur Geulis,Cibeunying Kaler,Kota Bandung,Jawa Barat,40122,107.6188804,-6.9007162
,Museum Konferensi Asia Afrika,Rekreasi,Jl. Asia Afrika No.65,Braga,Sumur Bandung,Kota Bandung,Jawa Barat,40111,107.6068411,-6.9212553
