foto,nama,kategori,jalan,desa/kelurahan,kecamatan,kabupaten/kota,provinsi,kodepos,x,y
https://cdn1.katadata.co.id/media/images/thumb/2021/08/07/Paris_Van_Java_Mall-2021_08_07-14_39_26_88d281800dbcc25a9d9a4fe098ec74f4_960x640_thumb.jpg,Paris Van Java,Hiburan,Jl. Sukajadi No.131-139,Cipedes,Sukajadi,Kota Bandung,Jawa Barat,40162,107.5934297,-6.8895433
https://i0.wp.com/javawisata.com/wp-content/uploads/2024/07/Bandung-Indah-Plaza.webp?ssl=1,Bandung Indah Plaza,Hiburan,Jl. Merdeka No.56,Citarum,Bandung Wetan,Kota Bandung,Jawa Barat,40115,107.6082533,-6.9086653
https://api.23paskal.id/storage/images/MBSGFAza_45ke2SkkkvGyL7oJ.jpg,Paskal 23 Shopping Center,Hiburan,Jl. Kebon Jati No.192,Kb. Jeruk,Andir,Kota Bandung,Jawa Barat,40181,107.5921845,-6.9158997
https://kfmap.asia/storage/thumbs/storage/photos/ID.BDG.RT.IBEC/ID.BDG.RT.IBEC_1.jpeg,Bandung Electronic Center,Hiburan,Jl. Purnawarman No.13-15,Babakan Ciamis,Bandung Wetan,Kota Bandung,Jawa Barat,40117,107.6062149,-6.9078216
https://raw.githubusercontent.com/claranvt/Image_WisataBandung/Rekreasi/Hiburan/rekreasi%20bandung/Trans-Studio-Mall-Bandung_02.jpg,Trans Studio Bandung,Hiburan,Jl. Gatot Subroto No.289A,Cibangkong,Batununggal,Kota Bandung,Jawa Barat,40273,107.6336682,-6.9255538
https://raw.githubusercontent.com/claranvt/Image_WisataBandung/Rekreasi/Hiburan/rekreasi%20bandung/Summareconbandung.jpg,Summarecon Mall Bandung,Hiburan,Jl. Grand Bulevar No.1,Cisaranten Kidul,Gedebage,Kota Bandung,Jawa Barat,40295,107.6974769,-6.9556092
https://kfmap.asia/storage/thumbs/storage/photos/ID.BDG.RT.TB/ID.BDG.RT.TB_1.jpeg,Transmart Buah Batu,Hiburan,Jl. Terusan Buah Batu No.176c,Cipagalo,Bojongsoang,Kabupaten Bandung,Jawa Barat,40287,107.6376568,-6.9668349
"https://static.wixstatic.com/media/4cd04e_a5f8a5d2ccc34788956ee8cc0b7bcc81~mv2.jpg/v1/fit/w_2500,h_1330,al_c/4cd04e_a5f8a5d2ccc34788956ee8cc0b7bcc81~mv2.jpg",D'Botanica Bandung Mall,Hiburan,Jl. Dr. Djunjunan No.143-149,Pajajaran,Cicendo,Kota Bandung,Jawa Barat,40173,107.5825456,-6.8931581
https://ciwalk.com/wp-content/uploads/2025/05/GP3.jpg,Cihampelas Walk,Hiburan,Jl. Cihampelas No.160,Cipaganti,Coblong,Kota Bandung,Jawa Barat,40131,107.6017538,-6.8949436
https://thekingsshoppingcentre.com/wp-content/uploads/2024/12/gedung-atas-scaled-min.jpg,Kings Shopping Center,Hiburan,Jl. Ciguriang,Balonggede,Regol,Kota Bandung,Jawa Barat,40251,107.6024268,-6.9231105
https://noahspark.id/_next/static/images/view-8ce433370389720cf93a3efe4a3d04cd.webp,Noah's Park,Hiburan,Jl. Sukanagara No.20,Pagerwangi,Lembang,Kabupaten Bandung Barat,Jawa Barat,40391,107.6315415,-6.8302191
https://travelspromo.com/wp-content/uploads/2019/03/Pandora-Experience-Bandung.-Foto-Gmap-Rendy-Rinaldi.jpg,Pandora Experience Bandung,Hiburan,Jl. Sukajadi No.173A,Cipedes,Sukajadi,Kota Bandung,Jawa Barat,40162,107.5937236,-6.8834785
https://raw.githubusercontent.com/claranvt/Image_WisataBandung/Rekreasi/Hiburan/rekreasi%20bandung/Lapangan-Gasibu.jpg,Lapangan Gasibu,Rekreasi,Jl. Diponegoro,Citarum,Bandung Wetan,Kota Bandung,Jawa Barat,40115,107.6179785,-6.9002614
https://raw.githubusercontent.com/claranvt/Image_WisataBandung/Rekreasi/Hiburan/rekreasi%20bandung/Kiara%20Artha%20Park.jpg,Kiara Artha Park,Rekreasi,Jl. Banten,Kebonwaru,Batununggal,Kota Bandung,Jawa Barat,40272,107.6396917,-6.9161452
https://awsimages.detik.net.id/community/media/visual/2021/06/13/farm-house-susu-lembang-1_169.jpeg?w=1200,Farm House Susu Lembang,Hiburan,Jl. Raya Lembang No.108,Gudangkahuripan,Lembang,Kabupaten Bandung Barat,Jawa Barat,40391,107.6047057,-6.8329461
https://lh3.googleusercontent.com/gps-cs-s/AC9h4npO2rcu4qVP4P9wIexdW7b3-QqdMOBAp5wtrqR6EoaD1C0egkibOKD4Af7J9ofNMb8EFonGN17KDyhqKLe3WGUhP4OGWhBrcu7YgFbXWpA_h81anc9zkYcyjGcosYe4Ezrnl2WZwg=s1360-w1360-h1020-rw,Taman Hutan Raya Ir. H. Djuanda,Rekreasi,Jl. Ir. H. Juanda No.99,Ciburial,Cimenyan,Kabupaten Bandung,Jawa Barat,40198,107.6287047,-6.8589342
https://raw.githubusercontent.com/claranvt/Image_WisataBandung/Rekreasi/Hiburan/rekreasi%20bandung/saungudjo.jpeg,Saung Angklung Udjo,Rekreasi,Jl. Padasuka No.118,Pasirlayung,Cibeunying Kidul,Kota Bandung,Jawa Barat,40192,107.6533955,-6.8976616
https://raw.githubusercontent.com/claranvt/Image_WisataBandung/Rekreasi/Hiburan/rekreasi%20bandung/Dago-Dream-Park.jpg,Dago Dreampark,Hiburan,Jl. Dago Giri No.Km. 2.2,Pagerwangi,Lembang,Kabupaten Bandung Barat,Jawa Barat,40135,107.6233641,-6.8486423
https://raw.githubusercontent.com/claranvt/Image_WisataBandung/Rekreasi/Hiburan/rekreasi%20bandung/lembangparkandzoo.jpg,Lembang Park & Zoo,Hiburan,Jl. Kolonel Masturi No.171,Sukajaya,Lembang,Kabupaten Bandung Barat,Jawa Barat,40391,107.5883489,-6.8041007
https://akcdn.detik.net.id/visual/2021/07/02/kebun-binatang-bandung_169.jpeg?w=1200,Kebun Binatang Bandung,Hiburan,Jl. Kebun Binatang No.6,Lb. Siliwangi,Coblong,Kota Bandung,Jawa Barat,40132,107.6052146,-6.8901133
